0.0000001,0.033899467,0.238933907,0.011520941
0.0000001,0.039541857,0.312384367,0.011049945
0.0000001,0.045184247,0.369713642,0.010578949
0.0000001,0.050826637,0.430238643,0.010107953
0.0000001,0.056469027,0.474395016,0.009636957
0.0000001,0.063506573,0.515971716,0.009165961
0.0000001,0.08146136,0.553579651,0.008876861
0.0000001,0.096755422,0.588270118,0.009309081
0.0000001,0.115397792,0.618222829,0.009741301
0.0000001,0.135181568,0.640848437,0.010173521
0.0000001,0.158204795,0.65468387,0.010256296
0.000602202,0.187047561,0.658448628,0.010246883
0.002709998,0.218474268,0.653192071,0.01023747
0.004817793,0.249896257,0.645943788,0.010228058
0.006925588,0.280633339,0.63587787,0.010218645
0.009033384,0.311453651,0.627461347,0.010209232
0.011141179,0.343052808,0.62238146,0.01019982
0.013248975,0.373598059,0.617301573,0.010224432
0.01535677,0.402017867,0.606609232,0.010638248
0.018226663,0.428451113,0.592015707,0.011052064
0.021273636,0.457204333,0.570249742,0.011465881
0.023403732,0.493120429,0.538191282,0.011515513
0.025533828,0.525010239,0.50407378,0.01123163
0.030368879,0.558735295,0.462507163,0.010947747
0.039257384,0.586028438,0.425600711,0.010663864
0.055797913,0.615701728,0.387553647,0.010379982
0.081089266,0.644662326,0.351168328,0.010105693
0.115057741,0.670579844,0.316435096,0.01009628
0.14965622,0.696649875,0.279759107,0.010086868
0.18211789,0.723513015,0.243863513,0.010077455
0.20343423,0.738427457,0.212614997,0.010068043
0.222198521,0.748163173,0.183876017,0.010296875
0.237288802,0.754575246,0.157665617,0.01069376
0.252937743,0.757693723,0.136345903,0.011090645
0.276179348,0.760347827,0.115762189,0.01148753
0.31588429,0.762016426,0.095662357,0.012378126
0.370047483,0.769641426,0.082165482,0.01333625
0.425069783,0.778923378,0.070095785,0.014294374
0.49640501,0.777997604,0.062847502,0.014510814
0.567355161,0.759608235,0.055770248,0.014501401
0.618903326,0.720098152,0.049678095,0.014038512
0.672368749,0.646139835,0.044561374,0.012183524
0.734072923,0.541166974,0.040030258,0.010328536
0.784959923,0.441551769,0.038459073,0.008473549
0.823471442,0.35191109,0.036931432,0.009538356
0.849375689,0.28924877,0.035793928,0.012560521
0.860952764,0.236081572,0.034656424,0.017272831
0.862930083,0.201926018,0.034004413,0.025262237
0.858611831,0.180722598,0.033995,0.033379105
0.852808835,0.162794268,0.036257532,0.042705339
0.846844361,0.148209232,0.0412352,0.052632595
0.838484145,0.138828258,0.048887008,0.063832164
0.828118568,0.135233021,0.059380169,0.076159087
0.816862105,0.13827323,0.07108409,0.088696151
0.805605642,0.143433428,0.086378152,0.10094287
0.798149671,0.153086626,0.103080839,0.113165135
0.797473916,0.168231705,0.120767935,0.124599686
